Título,Fecha de registro
08GUA155397/12AMDL15,11/11/2015
4GUA101435/12ABGE94,24/05/1995
08GUA155382/12AMDL18,09/11/2015
4GUA101420/12AAGE94,13/03/1995
4GUA101226/12IMGE94,20/12/1994
08GUA109872/12HMGE98,19/01/1999
4GUA101575/12AAGE94,16/06/1995
08GUA109878/12HMDL14,19/01/1999
08GUA100895/12AMDL18,13/02/1995
08GUA101082/12AADL18,06/02/1995
GUA103151,15/10/1997
08GUA104346/12AMGE98,24/08/1998
4GUA101422/12AAGE94,03/03/1995
4GUA101220/12HMGE94,26/01/1995
08GUA108739/12AMGR97,18/09/1997
4GUA101803/12IMGE94,28/07/1995
4GUA102189/12AMGE95,20/07/1995
GUA102055,26/07/1995
4GUA101225/12IMGE94,06/12/1994
4GUA101648/12AAGE94,03/05/1995
08GUA155493/12EDDL16,11/05/2016
4GUA100908/12AMGR94,01/02/1995
GUA100961,27/01/1995
4GUA100722/12HMGR94,03/05/1995
GUA103163,15/10/1997
08GUA155398/12AMDL15,11/11/2015
4GUA101482/12ABGE94,28/04/1995
08GUA108764/12AMDL10,18/09/1997
08GUA156080/12AADL16,11/05/2016
08GUA104353,24/08/1998
4GUA102678/12FMGE95,20/07/1995
08GUA104708/12AMDL07,24/08/1998
GUA102042,20/07/1995
GUA102056,05/09/1995
08GUA104109/12EMGE98,24/08/1998
08GUA104917/12AMDL09,18/01/1999
08GUA102887/12AMDL16,02/07/1995
08GUA100304/12HMDL16,16/11/1994
4GUA108860/12AMTA95,03/04/1997
4GUA101477/12AAGE94,26/07/1995
08GUA116974,06/01/2000
08GUA109890/12HMGE98,19/01/1999
GUA100689,13/02/1995
GUA102208,24/07/1995
4GUA101223/12FMGE94,02/02/1995
08GUA108490/12AMDL12,05/09/1997
08GUA104713/12AMDL13,24/08/1998
4GUA101278/12AAGE94,04/05/1995
4GUA101462/12AFGE94,13/03/1995
08GUA100735/12AMDL17,16/02/1995
08GUA108832/12AMDL17,08/10/1997
4GUA100920/12GRGR94,20/02/1995
4GUA102217/12HMGE95,27/07/1995
GUA155389,15/12/2015
08GUA155474/12EDDL16,11/05/2016
08GUA103363/12ALGE97,24/08/1998
08GUA103246/12AMGE97,18/01/1999
4GUA101682/12AMGE94,08/06/1995
GUA108740,11/12/2001
08GUA155399/12EADL15,11/11/2015
08GUA123651/12GMDL18,09/12/2015
08GUA103140/12AMDL18,18/01/1999
08GUA101761/12IMGE04,18/05/1995
GUA101830,26/07/1995
08GUA103152/12AMDL16,24/08/1998
4GUA102132/12IMGE95,28/07/1995
08GUA104182/12AMGE98,24/08/1998
08GUA118458/12EDGE01,07/12/2001
4GUA101882/12AMGE94,23/05/1995
08GUA106574/12AMOC07,18/01/1999
4GUA108896/12ACTA95,22/09/1997
08GUA110557/12HMGE98,20/01/1999
08GUA104300,24/08/1998
08GUA101752/12AADL16,20/06/1995
08GUA100764/12AMDL16,08/02/1995
08GUA155492/12AADL16,11/05/2016
4GUA102331/12ACGE95,20/07/1995
GUA105250,25/08/1998
08GUA123605/12EADL16,07/04/2016
4GUA108878/12ADTA95,22/09/1997
08GUA102036/12AMDL13,24/07/1995
08GUA102898/12AMGE98,24/08/1998
08GUA100740/12AMDL10,20/02/1995
08GUA110554/12HMGE98,20/01/1999
08GUA104710/12AMDL18,24/08/1998
08GUA110501/12HMGE98,20/01/1999
08GUA104565/12AMGE98,24/08/1998
4GUA101439/12AAGE94,25/04/1995
08GUA100601/12FMDL14,03/02/1995
4GUA101515/12AMGE94,13/02/1995
08GUA102848/12AMDL18,24/08/1998
4GUA100184/12APGR94,26/07/1995
GUA105068,25/08/1998
4GUA102130/12ABGE94,24/07/1995
GUA103212,15/10/1997
08GUA104127,24/08/1998
08GUA102630/12AMDL09,24/08/1998
08GUA106156/12FMGE98,18/01/1999
4GUA101765/12ABGE94,26/07/1995
08GUA107978/12AMGE06,05/09/1997
08GUA104458/12AMDL18,24/08/1998
4GUA101224/12IMGE94,28/04/1995
08GUA108755/12AMDL17,25/08/1998
GUA101528,05/06/1995
4GUA101156/12FMGE94,16/06/1995
GUA101760,31/05/1995
4GUA102222/12CMGE95,31/05/1995
08GUA108183/12AMDL07,05/09/1997
854277,30/06/2023
4GUA108879/12AATA95,22/09/1997
08GUA101994/12AMOC07,25/05/1995
4GUA100194/12AMGR94,13/02/1995
08GUA155475/12EMDL16,11/05/2016
4GUA102120/12AAGE94,28/07/1995
08GUA109881/12HMGE98,19/01/1999
08GUA104534/12AMGE98,28/09/1998
4GUA101942/12HMGR94,30/05/1995
GUA155428,15/02/2016
08GUA110500/12HMGE98,20/01/1999
GUA100313,12/12/1996
4GUA101862/12AASE93,27/01/1995
08GUA110561/12HMGE98,20/01/1999
4GUA101851/12IMGE94,28/07/1995
4GUA101191/12HMGE94,31/01/1995
08GUA155410/12EADL15,15/01/2016
GUA100674,24/02/1995
GUA155395,11/11/2015
GUA105150,25/08/1998
4GUA108897/12ABTA95,22/09/1997
08GUA101967/12HMGE06,28/07/1995
08GUA155430/12FMDL16,08/02/2016
08GUA108493/26HMGE97,08/10/1997
08GUA106921/12AMDL15,05/09/1997
GUA103203,15/10/1997
08GUA155373/12AMDL18,11/11/2015
08GUA104698/12AMDL16,24/08/1998
08GUA110502/12HMGE98,20/01/1999
08GUA155489/12AADL16,11/05/2016
08GUA155376/12AMDL15,11/11/2015
4GUA101900/12HMGE94,02/06/1995
4GUA108895/12ABTA95,22/09/1997
08GUA110548/12HMGE98,20/01/1999
08GUA155367/12FMDL15,09/11/2015
08GUA102185/12AMDL13,25/07/1995
4GUA101570/12ABGE94,03/05/1995
08GUA152247/12EDDL13,21/03/2013
08GUA101971/12AMDL16,27/07/1995
08GUA155476/12EDDL16,11/05/2016
GUA101406,15/03/1995
08GUA106111/12AMDL15,18/01/1999
08GUA102068/12AMDL15,28/07/1995
08GUA108760/12AMDL18,18/09/1997
08GUA105116/12AMOC07,18/01/1999
4GUA108893/12ACTA95,22/09/1997
GUA155416,15/02/2016
08GUA121857/12HMDL14,07/04/2016
